shipment_id,booking_timestamp,promised_delivery_date,region,customer_type,service_tier,is_guaranteed,weight_kg
SHP-00000021,2011-07-13T08:18:38.254453,2011-07-16,GTA,RESIDENTIAL,GROUND,False,10.7
SHP-00000022,2011-07-13T12:21:56.845981,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,8.86
SHP-00000023,2011-07-13T08:47:27.778391,2011-07-13,GTA,RESIDENTIAL,SAME_DAY,False,4.76
SHP-00000024,2011-07-13T10:21:16.361548,2011-07-16,Vancouver,COMMERCIAL,GROUND,False,4.93
SHP-00000025,2011-07-13T06:34:29.884162,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,14.58
SHP-00000026,2011-07-13T16:16:23.283322,2011-07-15,Montreal,RESIDENTIAL,EXPRESS,False,5.51
SHP-00000027,2011-07-13T16:30:24.004604,2011-07-15,GTA,COMMERCIAL,EXPRESS,True,5.68
SHP-00000028,2011-07-13T08:40:29.243746,2011-07-16,GTA,RESIDENTIAL,GROUND,False,13.4
SHP-00000029,2011-07-13T12:37:32.328633,2011-07-16,GTA,RESIDENTIAL,GROUND,False,14.96
SHP-00000030,2011-07-13T08:40:53.665040,2011-07-16,GTA,RESIDENTIAL,GROUND,False,17.56
SHP-00000031,2011-07-13T07:46:04.486445,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,17.74
SHP-00000032,2011-07-13T14:48:44.063630,2011-07-16,GTA,COMMERCIAL,GROUND,False,2.78
SHP-00000033,2011-07-13T18:02:32.399958,2011-07-16,Vancouver,COMMERCIAL,GROUND,False,11.63
SHP-00000034,2011-07-13T06:27:25.048711,2011-07-16,GTA,RESIDENTIAL,GROUND,False,12.28
SHP-00000035,2011-07-13T18:43:03.936839,2011-07-16,Montreal,COMMERCIAL,GROUND,False,16.54
SHP-00000036,2011-07-13T07:07:34.269336,2011-07-16,GTA,COMMERCIAL,GROUND,False,12.85
SHP-00000037,2011-07-13T19:57:26.051937,2011-07-16,GTA,COMMERCIAL,GROUND,False,7.68
SHP-00000038,2011-07-13T13:42:04.869092,2011-07-16,GTA,RESIDENTIAL,GROUND,False,20.53
SHP-00000039,2011-07-13T12:58:44.052360,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,15.94
SHP-00000040,2011-07-13T18:46:51.665876,2011-07-16,Vancouver,RESIDENTIAL,GROUND,True,24.81
SHP-00000041,2011-07-13T13:06:55.340936,2011-07-16,Calgary-Edmonton,COMMERCIAL,GROUND,False,23.12
SHP-00000042,2011-07-13T10:39:14.973768,2011-07-16,Montreal,COMMERCIAL,GROUND,False,12.62
SHP-00000043,2011-07-13T11:24:18.369126,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,False,20.47
SHP-00000044,2011-07-13T18:11:35.021756,2011-07-16,Calgary-Edmonton,COMMERCIAL,GROUND,True,4.46
SHP-00000045,2011-07-13T12:49:52.553264,2011-07-16,GTA,COMMERCIAL,GROUND,False,22.3
SHP-00000046,2011-07-13T18:38:52.572727,2011-07-15,Atlantic,COMMERCIAL,EXPRESS,False,8.48
SHP-00000047,2011-07-13T18:46:46.582408,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,False,6.78
SHP-00000048,2011-07-13T10:13:46.932195,2011-07-16,GTA,RESIDENTIAL,GROUND,False,11.96
SHP-00000049,2011-07-13T16:25:31.309595,2011-07-16,GTA,COMMERCIAL,GROUND,False,17.46
SHP-00000050,2011-07-13T15:31:55.096747,2011-07-16,GTA,RESIDENTIAL,GROUND,False,19.42
SHP-00000051,2011-07-13T13:33:06.151053,2011-07-16,GTA,COMMERCIAL,GROUND,True,4.17
SHP-00000052,2011-07-13T16:33:29.235250,2011-07-16,Calgary-Edmonton,COMMERCIAL,GROUND,False,2.81
SHP-00000053,2011-07-13T14:11:01.828619,2011-07-16,GTA,RESIDENTIAL,GROUND,False,17.14
SHP-00000054,2011-07-13T06:31:15.491263,2011-07-16,Calgary-Edmonton,COMMERCIAL,GROUND,True,2.09
SHP-00000055,2011-07-13T17:40:18.131398,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,16.72
SHP-00000056,2011-07-13T08:39:26.351533,2011-07-16,GTA,COMMERCIAL,GROUND,False,10.56
SHP-00000057,2011-07-13T08:54:00.731465,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,True,19.36
SHP-00000058,2011-07-13T07:50:42.882770,2011-07-16,GTA,RESIDENTIAL,GROUND,True,21.79
SHP-00000059,2011-07-13T13:03:13.469965,2011-07-16,GTA,RESIDENTIAL,GROUND,False,3.62
SHP-00000060,2011-07-13T12:12:35.541400,2011-07-16,GTA,RESIDENTIAL,GROUND,True,18.1
SHP-00000061,2011-07-13T15:49:29.682695,2011-07-16,GTA,RESIDENTIAL,GROUND,False,3.38
SHP-00000062,2011-07-13T09:34:06.445743,2011-07-16,GTA,RESIDENTIAL,GROUND,False,8.5
SHP-00000063,2011-07-13T11:45:04.755099,2011-07-16,GTA,RESIDENTIAL,GROUND,False,17.08
SHP-00000064,2011-07-13T17:50:06.820298,2011-07-16,GTA,RESIDENTIAL,GROUND,False,3.6
SHP-00000065,2011-07-13T18:54:05.491060,2011-07-16,Atlantic,COMMERCIAL,GROUND,True,19.3
SHP-00000066,2011-07-13T16:06:08.436774,2011-07-16,GTA,RESIDENTIAL,GROUND,False,9.88
SHP-00000067,2011-07-13T13:10:22.253812,2011-07-16,GTA,COMMERCIAL,GROUND,False,6.17
SHP-00000068,2011-07-13T10:03:08.135413,2011-07-16,Atlantic,RESIDENTIAL,GROUND,False,19.34
SHP-00000069,2011-07-13T07:05:24.275639,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,12.03
SHP-00000070,2011-07-13T17:49:22.011735,2011-07-16,GTA,COMMERCIAL,GROUND,False,3.12
SHP-00000071,2011-07-13T10:54:55.426642,2011-07-16,GTA,RESIDENTIAL,GROUND,False,19.63
SHP-00000072,2011-07-13T14:06:45.191721,2011-07-13,Calgary-Edmonton,RESIDENTIAL,SAME_DAY,False,2.91
SHP-00000073,2011-07-13T06:47:11.074859,2011-07-16,GTA,RESIDENTIAL,GROUND,False,7.59
SHP-00000074,2011-07-13T16:20:41.620692,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,False,23.9
SHP-00000075,2011-07-13T09:28:06.283669,2011-07-15,Montreal,COMMERCIAL,EXPRESS,False,2.48
SHP-00000076,2011-07-13T13:48:41.345906,2011-07-15,GTA,RESIDENTIAL,EXPRESS,False,4.29
SHP-00000077,2011-07-13T07:11:09.838205,2011-07-16,Vancouver,COMMERCIAL,GROUND,True,18.01
SHP-00000078,2011-07-13T08:41:17.063777,2011-07-16,Montreal,RESIDENTIAL,GROUND,False,19.39
SHP-00000079,2011-07-13T08:31:54.636745,2011-07-15,Montreal,COMMERCIAL,EXPRESS,False,2.27
SHP-00000080,2011-07-13T19:31:06.070515,2011-07-15,Atlantic,RESIDENTIAL,EXPRESS,False,3.25
SHP-00000081,2011-07-13T07:56:15.286144,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,False,20.23
SHP-00000082,2011-07-13T19:01:35.785127,2011-07-16,Atlantic,RESIDENTIAL,GROUND,False,22.23
SHP-00000083,2011-07-13T17:36:59.983791,2011-07-16,GTA,COMMERCIAL,GROUND,True,7.89
SHP-00000084,2011-07-13T10:12:58.020207,2011-07-15,Calgary-Edmonton,RESIDENTIAL,EXPRESS,True,3.81
SHP-00000085,2011-07-13T15:21:18.031107,2011-07-16,GTA,RESIDENTIAL,GROUND,False,5.5
SHP-00000086,2011-07-13T17:02:21.408820,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,False,1.39
SHP-00000087,2011-07-13T08:33:06.811120,2011-07-16,Montreal,COMMERCIAL,GROUND,False,12.48
SHP-00000088,2011-07-13T15:03:23.785140,2011-07-16,GTA,RESIDENTIAL,GROUND,False,1.88
SHP-00000089,2011-07-13T17:12:57.863605,2011-07-16,GTA,RESIDENTIAL,GROUND,False,13.46
SHP-00000090,2011-07-13T12:15:35.334847,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,11.65
SHP-00000091,2011-07-13T16:53:57.174825,2011-07-16,Vancouver,RESIDENTIAL,GROUND,True,2.61
SHP-00000092,2011-07-13T13:14:54.361820,2011-07-16,GTA,RESIDENTIAL,GROUND,True,5.47
SHP-00000093,2011-07-13T12:13:53.604114,2011-07-16,Atlantic,RESIDENTIAL,GROUND,False,22.57
SHP-00000094,2011-07-13T07:41:56.667736,2011-07-15,Calgary-Edmonton,COMMERCIAL,EXPRESS,False,6.35
SHP-00000095,2011-07-13T12:42:04.721540,2011-07-16,Montreal,RESIDENTIAL,GROUND,False,18.21
SHP-00000096,2011-07-13T13:02:24.334837,2011-07-15,Montreal,RESIDENTIAL,EXPRESS,False,1.98
SHP-00000097,2011-07-13T13:28:07.292700,2011-07-13,GTA,RESIDENTIAL,SAME_DAY,True,1.65
SHP-00000098,2011-07-13T16:47:39.527387,2011-07-16,Vancouver,COMMERCIAL,GROUND,True,23.77
SHP-00000099,2011-07-13T06:50:19.616860,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,2.75
SHP-00000100,2011-07-13T09:23:03.588191,2011-07-16,Calgary-Edmonton,COMMERCIAL,GROUND,False,3.55
SHP-00000101,2011-07-13T19:56:36.858319,2011-07-15,Atlantic,COMMERCIAL,EXPRESS,True,2.33
SHP-00000102,2011-07-13T07:30:17.853052,2011-07-16,Montreal,RESIDENTIAL,GROUND,False,1.2
SHP-00000103,2011-07-13T19:50:50.171311,2011-07-16,GTA,RESIDENTIAL,GROUND,False,7.71
SHP-00000104,2011-07-13T10:39:45.251550,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,True,4.29
SHP-00000105,2011-07-13T12:51:28.271264,2011-07-16,Atlantic,COMMERCIAL,GROUND,False,13.23
SHP-00000106,2011-07-13T19:36:31.665947,2011-07-16,Calgary-Edmonton,COMMERCIAL,GROUND,True,16.73
SHP-00000107,2011-07-13T06:15:54.443322,2011-07-16,GTA,COMMERCIAL,GROUND,False,3.64
SHP-00000108,2011-07-13T12:26:07.042014,2011-07-16,GTA,RESIDENTIAL,GROUND,False,23.96
SHP-00000109,2011-07-13T19:04:18.498888,2011-07-15,Atlantic,COMMERCIAL,EXPRESS,True,4.51
SHP-00000110,2011-07-13T08:59:44.935127,2011-07-16,GTA,COMMERCIAL,GROUND,False,18.94
SHP-00000111,2011-07-13T16:02:34.846035,2011-07-16,GTA,COMMERCIAL,GROUND,True,10.92
SHP-00000112,2011-07-13T18:42:40.022720,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,False,16.5
SHP-00000113,2011-07-13T13:57:05.278181,2011-07-16,Atlantic,RESIDENTIAL,GROUND,False,1.22
SHP-00000114,2011-07-13T15:04:33.581071,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,False,18.55
SHP-00000115,2011-07-13T07:58:06.838532,2011-07-16,Montreal,RESIDENTIAL,GROUND,False,5.43
SHP-00000116,2011-07-13T18:55:24.543103,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,17.47
SHP-00000117,2011-07-13T12:35:29.735075,2011-07-16,Atlantic,RESIDENTIAL,GROUND,False,14.18
SHP-00000118,2011-07-13T10:35:37.128942,2011-07-16,Montreal,RESIDENTIAL,GROUND,False,4.6
SHP-00000119,2011-07-13T10:18:51.746027,2011-07-16,Montreal,RESIDENTIAL,GROUND,False,17.15
SHP-00000120,2011-07-13T16:45:56.191954,2011-07-15,Montreal,RESIDENTIAL,EXPRESS,True,5.2
SHP-00000121,2011-07-13T08:29:55.070902,2011-07-16,Atlantic,RESIDENTIAL,GROUND,False,9.35
SHP-00000122,2011-07-13T09:51:32.746281,2011-07-16,Vancouver,RESIDENTIAL,GROUND,False,9.31
SHP-00000123,2011-07-13T18:12:39.505856,2011-07-16,GTA,RESIDENTIAL,GROUND,False,17.13
SHP-00000124,2011-07-13T19:47:59.056261,2011-07-15,Montreal,RESIDENTIAL,EXPRESS,False,10.58
SHP-00000125,2011-07-13T08:05:20.567434,2011-07-16,GTA,RESIDENTIAL,GROUND,False,10.99
SHP-00000126,2011-07-13T10:37:25.254879,2011-07-13,Atlantic,RESIDENTIAL,SAME_DAY,False,1.42
SHP-00000127,2011-07-13T18:10:21.482117,2011-07-16,GTA,COMMERCIAL,GROUND,False,12.51
SHP-00000128,2011-07-13T10:30:09.396445,2011-07-16,Montreal,RESIDENTIAL,GROUND,False,6.74
SHP-00000129,2011-07-13T08:02:34.504740,2011-07-16,GTA,RESIDENTIAL,GROUND,False,6.31
SHP-00000130,2011-07-13T19:31:52.016669,2011-07-16,Calgary-Edmonton,RESIDENTIAL,GROUND,False,20.72
SHP-00000131,2011-07-13T07:02:26.252737,2011-07-16,Atlantic,RESIDENTIAL,GROUND,False,21.14
SHP-00000132,2011-07-13T12:45:53.489343,2011-07-16,GTA,RESIDENTIAL,GROUND,False,15.8
SHP-00000133,2011-07-13T09:32:01.877094,2011-07-16,Atlantic,RESIDENTIAL,GROUND,False,15.87
SHP-00000134,2011-07-13T11:18:34.906721,2011-07-16,GTA,COMMERCIAL,GROUND,False,3.24
SHP-00000135,2011-07-14T15:41:31.300708,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,False,22.63
SHP-00000136,2011-07-14T15:58:40.654557,2011-07-17,GTA,COMMERCIAL,GROUND,False,19.05
SHP-00000137,2011-07-14T19:38:25.895703,2011-07-17,GTA,COMMERCIAL,GROUND,False,13.02
SHP-00000138,2011-07-14T15:14:57.864139,2011-07-17,Atlantic,RESIDENTIAL,GROUND,False,17.31
SHP-00000139,2011-07-14T12:13:34.687596,2011-07-17,Vancouver,COMMERCIAL,GROUND,True,23.63
SHP-00000140,2011-07-14T11:47:36.027516,2011-07-17,GTA,RESIDENTIAL,GROUND,False,1.3
SHP-00000141,2011-07-14T11:53:43.557925,2011-07-17,GTA,RESIDENTIAL,GROUND,True,11.43
SHP-00000142,2011-07-14T18:04:14.794853,2011-07-15,GTA,RESIDENTIAL,SAME_DAY,False,2.02
SHP-00000143,2011-07-14T10:04:48.986840,2011-07-17,Vancouver,COMMERCIAL,GROUND,False,24.25
SHP-00000144,2011-07-14T06:22:36.571877,2011-07-17,GTA,RESIDENTIAL,GROUND,False,19.42
SHP-00000145,2011-07-14T16:00:47.914121,2011-07-17,Calgary-Edmonton,COMMERCIAL,GROUND,True,16.81
SHP-00000146,2011-07-14T14:18:48.525145,2011-07-16,Vancouver,RESIDENTIAL,EXPRESS,False,9.84
SHP-00000147,2011-07-14T06:08:51.607748,2011-07-14,Vancouver,RESIDENTIAL,SAME_DAY,False,2.27
SHP-00000148,2011-07-14T12:45:31.662658,2011-07-17,GTA,COMMERCIAL,GROUND,True,24.94
SHP-00000149,2011-07-14T10:27:53.037501,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,False,17.72
SHP-00000150,2011-07-14T12:28:07.529538,2011-07-17,Atlantic,RESIDENTIAL,GROUND,False,11.23
SHP-00000151,2011-07-14T13:30:59.206133,2011-07-16,GTA,RESIDENTIAL,EXPRESS,False,9.69
SHP-00000152,2011-07-14T14:36:10.019592,2011-07-17,GTA,RESIDENTIAL,GROUND,False,8.14
SHP-00000153,2011-07-14T18:52:05.714234,2011-07-17,Montreal,RESIDENTIAL,GROUND,False,13.9
SHP-00000154,2011-07-14T12:50:30.455402,2011-07-17,Montreal,COMMERCIAL,GROUND,False,21.16
SHP-00000155,2011-07-14T13:36:12.551577,2011-07-16,Montreal,COMMERCIAL,EXPRESS,False,3.58
SHP-00000156,2011-07-14T17:26:03.120690,2011-07-17,Vancouver,COMMERCIAL,GROUND,False,9.37
SHP-00000157,2011-07-14T17:16:34.200866,2011-07-17,Vancouver,RESIDENTIAL,GROUND,False,20.52
SHP-00000158,2011-07-14T11:45:44.449645,2011-07-16,Atlantic,RESIDENTIAL,EXPRESS,True,9.13
SHP-00000159,2011-07-14T11:47:56.944504,2011-07-17,GTA,COMMERCIAL,GROUND,False,7.45
SHP-00000160,2011-07-14T07:18:14.339568,2011-07-17,GTA,COMMERCIAL,GROUND,False,21.33
SHP-00000161,2011-07-14T13:55:33.562390,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,False,14.87
SHP-00000162,2011-07-14T10:13:34.021421,2011-07-17,GTA,COMMERCIAL,GROUND,False,22.17
SHP-00000163,2011-07-14T07:19:57.257370,2011-07-16,GTA,RESIDENTIAL,EXPRESS,False,1.55
SHP-00000164,2011-07-14T16:13:50.474441,2011-07-17,GTA,COMMERCIAL,GROUND,True,10.19
SHP-00000165,2011-07-14T10:54:59.861029,2011-07-17,Atlantic,RESIDENTIAL,GROUND,False,4.94
SHP-00000166,2011-07-14T07:57:27.441516,2011-07-16,GTA,RESIDENTIAL,EXPRESS,False,4.12
SHP-00000167,2011-07-14T17:06:46.412799,2011-07-16,Montreal,RESIDENTIAL,EXPRESS,False,9.51
SHP-00000168,2011-07-14T16:47:06.499281,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,False,23.91
SHP-00000169,2011-07-14T13:09:29.756794,2011-07-17,Vancouver,RESIDENTIAL,GROUND,False,8.44
SHP-00000170,2011-07-14T06:46:13.442432,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,True,15.7
SHP-00000171,2011-07-14T16:56:08.648589,2011-07-16,GTA,RESIDENTIAL,EXPRESS,True,1.96
SHP-00000172,2011-07-14T18:01:51.733047,2011-07-17,Vancouver,RESIDENTIAL,GROUND,False,2.33
SHP-00000173,2011-07-14T08:06:04.267279,2011-07-17,GTA,COMMERCIAL,GROUND,False,10.19
SHP-00000174,2011-07-14T15:25:35.616123,2011-07-17,Montreal,COMMERCIAL,GROUND,False,3.87
SHP-00000175,2011-07-14T13:53:35.859738,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,True,5.82
SHP-00000176,2011-07-14T06:08:03.578932,2011-07-17,GTA,RESIDENTIAL,GROUND,False,17.64
SHP-00000177,2011-07-14T18:53:52.229910,2011-07-15,Montreal,COMMERCIAL,SAME_DAY,False,0.65
SHP-00000178,2011-07-14T10:24:36.449337,2011-07-17,GTA,RESIDENTIAL,GROUND,False,7.26
SHP-00000179,2011-07-14T07:41:25.131548,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,False,8.54
SHP-00000180,2011-07-14T07:16:37.130351,2011-07-17,GTA,COMMERCIAL,GROUND,False,8.87
SHP-00000181,2011-07-14T16:56:00.383671,2011-07-16,GTA,RESIDENTIAL,EXPRESS,True,1.21
SHP-00000182,2011-07-14T07:48:11.094069,2011-07-14,Atlantic,RESIDENTIAL,SAME_DAY,False,2.33
SHP-00000183,2011-07-14T10:57:18.739935,2011-07-17,Montreal,COMMERCIAL,GROUND,False,11.24
SHP-00000184,2011-07-14T08:47:32.673456,2011-07-17,Montreal,COMMERCIAL,GROUND,True,4.29
SHP-00000185,2011-07-14T06:24:36.894411,2011-07-17,Atlantic,RESIDENTIAL,GROUND,True,15.33
SHP-00000186,2011-07-14T06:46:57.796255,2011-07-17,GTA,RESIDENTIAL,GROUND,False,23.01
SHP-00000187,2011-07-14T13:53:00.688100,2011-07-17,Vancouver,COMMERCIAL,GROUND,False,14.53
SHP-00000188,2011-07-14T17:17:24.848831,2011-07-17,GTA,RESIDENTIAL,GROUND,False,15.74
SHP-00000189,2011-07-14T19:11:12.929959,2011-07-17,GTA,RESIDENTIAL,GROUND,False,9.97
SHP-00000190,2011-07-14T08:27:17.722152,2011-07-14,Atlantic,COMMERCIAL,SAME_DAY,True,3.03
SHP-00000191,2011-07-14T16:26:05.303736,2011-07-17,Atlantic,COMMERCIAL,GROUND,False,4.38
SHP-00000192,2011-07-14T17:01:05.808307,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,False,9.41
SHP-00000193,2011-07-14T08:16:37.888192,2011-07-16,GTA,RESIDENTIAL,EXPRESS,False,8.4
SHP-00000194,2011-07-14T18:30:18.599101,2011-07-17,GTA,COMMERCIAL,GROUND,False,24.65
SHP-00000195,2011-07-14T07:20:34.162439,2011-07-17,Atlantic,RESIDENTIAL,GROUND,False,8.14
SHP-00000196,2011-07-14T07:08:49.579174,2011-07-17,Vancouver,RESIDENTIAL,GROUND,False,8.0
SHP-00000197,2011-07-14T09:41:15.400807,2011-07-17,GTA,COMMERCIAL,GROUND,True,11.55
SHP-00000198,2011-07-14T11:51:39.056577,2011-07-17,Montreal,COMMERCIAL,GROUND,False,20.64
SHP-00000199,2011-07-14T08:25:13.100229,2011-07-16,Vancouver,RESIDENTIAL,EXPRESS,True,9.21
SHP-00000200,2011-07-14T13:43:43.531255,2011-07-16,GTA,COMMERCIAL,EXPRESS,True,6.9
SHP-00000201,2011-07-14T18:56:56.379605,2011-07-17,GTA,RESIDENTIAL,GROUND,False,23.55
SHP-00000202,2011-07-14T15:31:52.968306,2011-07-17,Montreal,RESIDENTIAL,GROUND,False,15.84
SHP-00000203,2011-07-14T15:44:47.615372,2011-07-16,GTA,RESIDENTIAL,EXPRESS,False,6.15
SHP-00000204,2011-07-14T13:12:49.593012,2011-07-16,GTA,COMMERCIAL,EXPRESS,False,9.94
SHP-00000205,2011-07-14T11:02:42.904122,2011-07-16,GTA,COMMERCIAL,EXPRESS,True,1.08
SHP-00000206,2011-07-14T08:17:21.086172,2011-07-14,Montreal,RESIDENTIAL,SAME_DAY,False,1.88
SHP-00000207,2011-07-14T11:43:59.162703,2011-07-16,Montreal,COMMERCIAL,EXPRESS,False,3.59
SHP-00000208,2011-07-14T09:51:19.079334,2011-07-16,GTA,RESIDENTIAL,EXPRESS,False,8.66
SHP-00000209,2011-07-14T09:57:26.914642,2011-07-14,Montreal,RESIDENTIAL,SAME_DAY,False,3.05
SHP-00000210,2011-07-14T18:35:44.227055,2011-07-17,Vancouver,COMMERCIAL,GROUND,True,19.37
SHP-00000211,2011-07-14T19:55:35.587996,2011-07-17,Atlantic,RESIDENTIAL,GROUND,False,14.99
SHP-00000212,2011-07-14T07:21:59.194416,2011-07-17,GTA,RESIDENTIAL,GROUND,False,5.35
SHP-00000213,2011-07-14T11:12:12.794460,2011-07-16,GTA,RESIDENTIAL,EXPRESS,False,10.7
SHP-00000214,2011-07-14T18:11:30.796976,2011-07-17,Montreal,RESIDENTIAL,GROUND,False,10.91
SHP-00000215,2011-07-14T16:39:24.141373,2011-07-17,GTA,COMMERCIAL,GROUND,True,7.56
SHP-00000216,2011-07-14T19:18:03.458220,2011-07-17,Montreal,COMMERCIAL,GROUND,False,18.54
SHP-00000217,2011-07-14T10:10:29.393576,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,False,20.77
SHP-00000218,2011-07-14T08:57:23.987550,2011-07-17,Atlantic,COMMERCIAL,GROUND,True,24.64
SHP-00000219,2011-07-14T06:16:34.985032,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,False,16.69
SHP-00000220,2011-07-14T11:51:48.817889,2011-07-17,Vancouver,RESIDENTIAL,GROUND,False,17.82
SHP-00000221,2011-07-14T06:33:06.047664,2011-07-14,Calgary-Edmonton,COMMERCIAL,SAME_DAY,False,1.62
SHP-00000222,2011-07-14T07:03:02.429967,2011-07-17,Atlantic,COMMERCIAL,GROUND,False,19.71
SHP-00000223,2011-07-14T16:20:22.425868,2011-07-16,Calgary-Edmonton,COMMERCIAL,EXPRESS,False,4.1
SHP-00000224,2011-07-14T07:35:37.132795,2011-07-16,Montreal,RESIDENTIAL,EXPRESS,False,4.44
SHP-00000225,2011-07-14T12:45:26.812467,2011-07-16,GTA,RESIDENTIAL,EXPRESS,True,10.98
SHP-00000226,2011-07-14T15:51:50.236095,2011-07-17,Montreal,COMMERCIAL,GROUND,True,8.54
SHP-00000227,2011-07-14T14:58:46.784421,2011-07-17,Montreal,COMMERCIAL,GROUND,False,16.93
SHP-00000228,2011-07-14T15:00:23.192667,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,True,6.34
SHP-00000229,2011-07-14T19:29:03.830913,2011-07-17,GTA,RESIDENTIAL,GROUND,False,20.0
SHP-00000230,2011-07-14T12:20:07.635791,2011-07-17,Calgary-Edmonton,COMMERCIAL,GROUND,False,9.72
SHP-00000231,2011-07-14T16:06:06.578411,2011-07-16,GTA,RESIDENTIAL,EXPRESS,True,8.74
SHP-00000232,2011-07-14T15:13:06.217428,2011-07-17,Vancouver,RESIDENTIAL,GROUND,False,11.81
SHP-00000233,2011-07-14T14:29:10.503007,2011-07-16,GTA,RESIDENTIAL,EXPRESS,True,8.06
SHP-00000234,2011-07-14T16:28:40.714040,2011-07-16,GTA,RESIDENTIAL,EXPRESS,False,8.55
SHP-00000235,2011-07-14T19:24:59.653221,2011-07-17,Vancouver,RESIDENTIAL,GROUND,False,16.6
SHP-00000236,2011-07-14T06:10:43.633961,2011-07-16,Vancouver,RESIDENTIAL,EXPRESS,False,5.36
SHP-00000237,2011-07-14T18:09:08.982832,2011-07-17,Calgary-Edmonton,RESIDENTIAL,GROUND,False,3.46
SHP-00000238,2011-07-14T16:24:40.966299,2011-07-15,GTA,COMMERCIAL,SAME_DAY,False,0.46
