shipment_id,invoice_date,base_rate,fuel_surcharge_pct,fuel_surcharge_amount,guarantee_fee,total_billed
SHP-00000055,2011-07-14,20.06,0.1478,2.96,0.0,23.02
SHP-00000056,2011-07-13,12.67,0.1478,1.87,0.0,14.54
SHP-00000057,2011-07-13,23.23,0.1478,3.43,5.0,31.66
SHP-00000058,2011-07-13,26.15,0.1478,3.86,5.0,35.01
SHP-00000059,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000060,2011-07-14,21.72,0.1478,3.21,5.0,29.93
SHP-00000061,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000062,2011-07-14,10.2,0.1478,1.51,0.0,11.71
SHP-00000063,2011-07-14,20.5,0.1478,3.03,0.0,23.53
SHP-00000064,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000065,2011-07-14,23.16,0.1478,3.42,5.0,31.58
SHP-00000066,2011-07-14,11.86,0.1478,1.75,0.0,13.61
SHP-00000067,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000068,2011-07-13,23.21,0.1478,3.43,0.0,26.64
SHP-00000069,2011-07-13,14.44,0.1478,2.13,0.0,16.57
SHP-00000070,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000071,2011-07-14,23.56,0.1478,3.48,0.0,27.04
SHP-00000072,2011-07-14,25.0,0.1478,3.69,0.0,28.69
SHP-00000073,2011-07-14,9.11,0.1478,1.35,0.0,10.46
SHP-00000074,2011-07-13,28.68,0.1478,4.24,0.0,32.92
SHP-00000075,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000076,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000077,2011-07-14,21.61,0.1478,3.19,5.0,29.8
SHP-00000078,2011-07-14,23.27,0.1478,3.44,0.0,26.71
SHP-00000079,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000080,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000081,2011-07-13,24.28,0.1478,3.59,0.0,27.87
SHP-00000082,2011-07-14,26.68,0.1478,3.94,0.0,30.62
SHP-00000083,2011-07-14,9.47,0.1478,1.4,5.0,15.87
SHP-00000084,2011-07-13,15.0,0.1478,2.22,8.0,25.22
SHP-00000085,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000086,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000087,2011-07-13,14.98,0.1478,2.21,0.0,17.19
SHP-00000088,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000089,2011-07-14,16.15,0.1478,2.39,0.0,18.54
SHP-00000090,2011-07-14,13.98,0.1478,2.07,0.0,16.05
SHP-00000091,2011-07-14,8.0,0.1478,1.18,5.0,14.18
SHP-00000092,2011-07-14,8.0,0.1478,1.18,5.0,14.18
SHP-00000093,2011-07-13,27.08,0.1478,4.0,0.0,31.08
SHP-00000094,2011-07-13,15.88,0.1478,2.35,0.0,18.23
SHP-00000095,2011-07-14,21.85,0.1478,3.23,0.0,25.08
SHP-00000096,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000097,2011-07-14,25.0,0.1478,3.69,12.0,40.69
SHP-00000098,2011-07-14,28.52,0.1478,4.22,5.0,37.74
SHP-00000099,2011-07-13,8.0,0.1478,1.18,0.0,9.18
SHP-00000100,2011-07-13,8.0,0.1478,1.18,0.0,9.18
SHP-00000101,2011-07-14,15.0,0.1478,2.22,8.0,25.22
SHP-00000102,2011-07-13,8.0,0.1478,1.18,0.0,9.18
SHP-00000103,2011-07-14,9.25,0.1478,1.37,0.0,10.62
SHP-00000104,2011-07-14,8.0,0.1478,1.18,5.0,14.18
SHP-00000105,2011-07-14,15.88,0.1478,2.35,0.0,18.23
SHP-00000106,2011-07-14,20.08,0.1478,2.97,5.0,28.05
SHP-00000107,2011-07-13,8.0,0.1478,1.18,0.0,9.18
SHP-00000108,2011-07-14,28.75,0.1478,4.25,0.0,33.0
SHP-00000109,2011-07-14,15.0,0.1478,2.22,8.0,25.22
SHP-00000110,2011-07-14,22.73,0.1478,3.36,0.0,26.09
SHP-00000111,2011-07-14,13.1,0.1478,1.94,5.0,20.04
SHP-00000112,2011-07-14,19.8,0.1478,2.93,0.0,22.73
SHP-00000113,2011-07-13,8.0,0.1478,1.18,0.0,9.18
SHP-00000114,2011-07-14,22.26,0.1478,3.29,0.0,25.55
SHP-00000115,2011-07-13,8.0,0.1478,1.18,0.0,9.18
SHP-00000116,2011-07-14,20.96,0.1478,3.1,0.0,24.06
SHP-00000117,2011-07-14,17.02,0.1478,2.52,0.0,19.54
SHP-00000118,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000119,2011-07-13,20.58,0.1478,3.04,0.0,23.62
SHP-00000120,2011-07-14,15.0,0.1478,2.22,8.0,25.22
SHP-00000121,2011-07-14,11.22,0.1478,1.66,0.0,12.88
SHP-00000122,2011-07-14,11.17,0.1478,1.65,0.0,12.82
SHP-00000123,2011-07-14,20.56,0.1478,3.04,0.0,23.6
SHP-00000124,2011-07-14,26.45,0.1478,3.91,0.0,30.36
SHP-00000125,2011-07-13,13.19,0.1478,1.95,0.0,15.14
SHP-00000126,2011-07-13,25.0,0.1478,3.69,0.0,28.69
SHP-00000127,2011-07-14,15.01,0.1478,2.22,0.0,17.23
SHP-00000128,2011-07-13,8.09,0.1478,1.2,0.0,9.29
SHP-00000129,2011-07-13,8.0,0.1478,1.18,0.0,9.18
SHP-00000130,2011-07-14,24.86,0.1478,3.67,0.0,28.53
SHP-00000131,2011-07-14,25.37,0.1478,3.75,0.0,29.12
SHP-00000132,2011-07-14,18.96,0.1478,2.8,0.0,21.76
SHP-00000133,2011-07-14,19.04,0.1478,2.81,0.0,21.85
SHP-00000134,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000135,2011-07-15,27.16,0.1478,4.01,0.0,31.17
SHP-00000136,2011-07-15,22.86,0.1478,3.38,0.0,26.24
SHP-00000137,2011-07-15,15.63,0.1478,2.31,0.0,17.94
SHP-00000138,2011-07-14,20.77,0.1478,3.07,0.0,23.84
SHP-00000139,2011-07-15,28.36,0.1478,4.19,5.0,37.55
SHP-00000140,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000141,2011-07-15,13.72,0.1478,2.03,5.0,20.75
SHP-00000142,2011-07-15,25.0,0.1478,3.69,0.0,28.69
SHP-00000143,2011-07-15,29.1,0.1478,4.3,0.0,33.4
SHP-00000144,2011-07-15,23.31,0.1478,3.45,0.0,26.76
SHP-00000145,2011-07-15,20.17,0.1478,2.98,5.0,28.15
SHP-00000146,2011-07-15,24.6,0.1478,3.64,0.0,28.24
SHP-00000147,2011-07-14,25.0,0.1478,3.69,0.0,28.69
SHP-00000148,2011-07-15,29.93,0.1478,4.42,5.0,39.35
SHP-00000149,2011-07-14,21.27,0.1478,3.14,0.0,24.41
SHP-00000150,2011-07-15,13.48,0.1478,1.99,0.0,15.47
SHP-00000151,2011-07-15,24.23,0.1478,3.58,0.0,27.81
SHP-00000152,2011-07-14,9.77,0.1478,1.44,0.0,11.21
SHP-00000153,2011-07-15,16.68,0.1478,2.47,0.0,19.15
SHP-00000154,2011-07-14,25.39,0.1478,3.75,0.0,29.14
SHP-00000155,2011-07-15,15.0,0.1478,2.22,0.0,17.22
SHP-00000156,2011-07-15,11.24,0.1478,1.66,0.0,12.9
SHP-00000157,2011-07-15,24.63,0.1478,3.64,0.0,28.27
SHP-00000158,2011-07-14,22.83,0.1478,3.37,8.0,34.2
SHP-00000159,2011-07-15,8.94,0.1478,1.32,0.0,10.26
SHP-00000160,2011-07-15,25.6,0.1478,3.78,0.0,29.38
SHP-00000161,2011-07-15,17.85,0.1478,2.64,0.0,20.49
SHP-00000162,2011-07-15,26.61,0.1478,3.93,0.0,30.54
SHP-00000163,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000164,2011-07-15,12.23,0.1478,1.81,5.0,19.04
SHP-00000165,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000166,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000167,2011-07-15,23.78,0.1478,3.51,0.0,27.29
SHP-00000168,2011-07-14,28.69,0.1478,4.24,0.0,32.93
SHP-00000169,2011-07-15,10.13,0.1478,1.5,0.0,11.63
SHP-00000170,2011-07-15,18.84,0.1478,2.78,5.0,26.62
SHP-00000171,2011-07-15,15.0,0.1478,2.22,8.0,25.22
SHP-00000172,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000173,2011-07-15,12.23,0.1478,1.81,0.0,14.04
SHP-00000174,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000175,2011-07-15,8.0,0.1478,1.18,5.0,14.18
SHP-00000176,2011-07-14,21.17,0.1478,3.13,0.0,24.3
SHP-00000177,2011-07-15,25.0,0.1478,3.69,0.0,28.69
SHP-00000178,2011-07-15,8.71,0.1478,1.29,0.0,10.0
SHP-00000179,2011-07-14,10.25,0.1478,1.51,0.0,11.76
SHP-00000180,2011-07-14,10.64,0.1478,1.57,0.0,12.21
SHP-00000181,2011-07-15,15.0,0.1478,2.22,8.0,25.22
SHP-00000182,2011-07-15,25.0,0.1478,3.69,0.0,28.69
SHP-00000183,2011-07-15,13.49,0.1478,1.99,0.0,15.48
SHP-00000184,2011-07-15,8.0,0.1478,1.18,5.0,14.18
SHP-00000185,2011-07-15,18.4,0.1478,2.72,5.0,26.12
SHP-00000186,2011-07-15,27.61,0.1478,4.08,0.0,31.69
SHP-00000187,2011-07-15,17.44,0.1478,2.58,0.0,20.02
SHP-00000188,2011-07-15,18.89,0.1478,2.79,0.0,21.68
SHP-00000189,2011-07-15,11.96,0.1478,1.77,0.0,13.73
SHP-00000190,2011-07-14,25.0,0.1478,3.69,12.0,40.69
SHP-00000191,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000192,2011-07-15,11.29,0.1478,1.67,0.0,12.96
SHP-00000193,2011-07-14,21.0,0.1478,3.1,0.0,24.1
SHP-00000194,2011-07-15,29.58,0.1478,4.37,0.0,33.95
SHP-00000195,2011-07-14,9.77,0.1478,1.44,0.0,11.21
SHP-00000196,2011-07-15,9.6,0.1478,1.42,0.0,11.02
SHP-00000197,2011-07-15,13.86,0.1478,2.05,5.0,20.91
SHP-00000198,2011-07-15,24.77,0.1478,3.66,0.0,28.43
SHP-00000199,2011-07-15,23.03,0.1478,3.4,8.0,34.43
SHP-00000200,2011-07-15,17.25,0.1478,2.55,8.0,27.8
SHP-00000201,2011-07-15,28.26,0.1478,4.18,0.0,32.44
SHP-00000202,2011-07-15,19.01,0.1478,2.81,0.0,21.82
SHP-00000203,2011-07-15,15.38,0.1478,2.27,0.0,17.65
SHP-00000204,2011-07-14,24.85,0.1478,3.67,0.0,28.52
SHP-00000205,2011-07-14,15.0,0.1478,2.22,8.0,25.22
SHP-00000206,2011-07-15,25.0,0.1478,3.69,0.0,28.69
SHP-00000207,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000208,2011-07-15,21.65,0.1478,3.2,0.0,24.85
SHP-00000209,2011-07-15,25.0,0.1478,3.69,0.0,28.69
SHP-00000210,2011-07-15,23.25,0.1478,3.44,5.0,31.69
SHP-00000211,2011-07-15,17.99,0.1478,2.66,0.0,20.65
SHP-00000212,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000213,2011-07-15,26.75,0.1478,3.95,0.0,30.7
SHP-00000214,2011-07-15,13.09,0.1478,1.93,0.0,15.02
SHP-00000215,2011-07-15,9.07,0.1478,1.34,5.0,15.41
SHP-00000216,2011-07-15,22.25,0.1478,3.29,0.0,25.54
SHP-00000217,2011-07-14,24.93,0.1478,3.68,0.0,28.61
SHP-00000218,2011-07-14,29.57,0.1478,4.37,5.0,38.94
SHP-00000219,2011-07-15,20.03,0.1478,2.96,0.0,22.99
SHP-00000220,2011-07-15,21.39,0.1478,3.16,0.0,24.55
SHP-00000221,2011-07-15,25.0,0.1478,3.69,0.0,28.69
SHP-00000222,2011-07-15,23.65,0.1478,3.5,0.0,27.15
SHP-00000223,2011-07-15,15.0,0.1478,2.22,0.0,17.22
SHP-00000224,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000225,2011-07-15,27.45,0.1478,4.06,8.0,39.51
SHP-00000226,2011-07-15,10.25,0.1478,1.51,5.0,16.76
SHP-00000227,2011-07-15,20.32,0.1478,3.0,0.0,23.32
SHP-00000228,2011-07-15,8.0,0.1478,1.18,5.0,14.18
SHP-00000229,2011-07-15,24.0,0.1478,3.55,0.0,27.55
SHP-00000230,2011-07-14,11.66,0.1478,1.72,0.0,13.38
SHP-00000231,2011-07-15,21.85,0.1478,3.23,8.0,33.08
SHP-00000232,2011-07-15,14.17,0.1478,2.09,0.0,16.26
SHP-00000233,2011-07-15,20.15,0.1478,2.98,8.0,31.13
SHP-00000234,2011-07-15,21.38,0.1478,3.16,0.0,24.54
SHP-00000235,2011-07-15,19.92,0.1478,2.94,0.0,22.86
SHP-00000236,2011-07-14,15.0,0.1478,2.22,0.0,17.22
SHP-00000237,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000238,2011-07-15,25.0,0.1478,3.69,0.0,28.69
SHP-00000239,2011-07-14,28.97,0.1478,4.28,0.0,33.25
SHP-00000240,2011-07-15,14.63,0.1478,2.16,5.0,21.79
SHP-00000241,2011-07-15,25.0,0.1478,3.69,0.0,28.69
SHP-00000242,2011-07-15,11.16,0.1478,1.65,5.0,17.81
SHP-00000243,2011-07-15,24.88,0.1478,3.68,0.0,28.56
SHP-00000244,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000245,2011-07-14,21.84,0.1478,3.23,5.0,30.07
SHP-00000246,2011-07-15,22.97,0.1478,3.39,0.0,26.36
SHP-00000247,2011-07-14,16.56,0.1478,2.45,0.0,19.01
SHP-00000248,2011-07-14,17.19,0.1478,2.54,0.0,19.73
SHP-00000249,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000250,2011-07-15,11.48,0.1478,1.7,0.0,13.18
SHP-00000251,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000252,2011-07-15,15.0,0.1478,2.22,0.0,17.22
SHP-00000253,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000254,2011-07-15,24.43,0.1478,3.61,0.0,28.04
SHP-00000255,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000256,2011-07-15,17.62,0.1478,2.6,0.0,20.22
SHP-00000257,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000258,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000259,2011-07-15,17.44,0.1478,2.58,0.0,20.02
SHP-00000260,2011-07-15,20.94,0.1478,3.09,5.0,29.03
SHP-00000261,2011-07-15,18.9,0.1478,2.79,0.0,21.69
SHP-00000262,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000263,2011-07-15,27.41,0.1478,4.05,0.0,31.46
SHP-00000264,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000265,2011-07-14,23.5,0.1478,3.47,0.0,26.97
SHP-00000266,2011-07-14,8.0,0.1478,1.18,0.0,9.18
SHP-00000267,2011-07-16,24.83,0.1478,3.67,0.0,28.5
SHP-00000268,2011-07-16,20.07,0.1478,2.97,0.0,23.04
SHP-00000269,2011-07-16,24.69,0.1478,3.65,0.0,28.34
SHP-00000270,2011-07-16,24.63,0.1478,3.64,0.0,28.27
SHP-00000271,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000272,2011-07-16,25.0,0.1478,3.69,0.0,28.69
SHP-00000273,2011-07-16,8.0,0.1478,1.18,5.0,14.18
SHP-00000274,2011-07-15,27.58,0.1478,4.08,0.0,31.66
SHP-00000275,2011-07-15,14.45,0.1478,2.14,0.0,16.59
SHP-00000276,2011-07-16,13.41,0.1478,1.98,0.0,15.39
SHP-00000277,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000278,2011-07-16,24.64,0.1478,3.64,5.0,33.28
SHP-00000279,2011-07-16,9.4,0.1478,1.39,0.0,10.79
SHP-00000280,2011-07-16,25.0,0.1478,3.69,0.0,28.69
SHP-00000281,2011-07-15,16.2,0.1478,2.39,0.0,18.59
SHP-00000282,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000283,2011-07-16,27.57,0.1478,4.07,0.0,31.64
SHP-00000284,2011-07-15,15.07,0.1478,2.23,0.0,17.3
SHP-00000285,2011-07-15,28.48,0.1478,4.21,0.0,32.69
SHP-00000286,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000287,2011-07-16,9.54,0.1478,1.41,0.0,10.95
SHP-00000288,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000289,2011-07-16,23.55,0.1478,3.48,8.0,35.03
SHP-00000290,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000291,2011-07-15,26.08,0.1478,3.85,0.0,29.93
SHP-00000292,2011-07-16,15.0,0.1478,2.22,0.0,17.22
SHP-00000293,2011-07-16,23.0,0.1478,3.4,0.0,26.4
SHP-00000294,2011-07-16,26.19,0.1478,3.87,0.0,30.06
SHP-00000295,2011-07-16,15.0,0.1478,2.22,0.0,17.22
SHP-00000296,2011-07-16,16.27,0.1478,2.4,5.0,23.67
SHP-00000297,2011-07-15,8.0,0.1478,1.18,5.0,14.18
SHP-00000298,2011-07-16,15.0,0.1478,2.22,0.0,17.22
SHP-00000299,2011-07-16,19.22,0.1478,2.84,0.0,22.06
SHP-00000300,2011-07-16,20.14,0.1478,2.98,0.0,23.12
SHP-00000301,2011-07-16,8.52,0.1478,1.26,0.0,9.78
SHP-00000302,2011-07-16,24.88,0.1478,3.68,5.0,33.56
SHP-00000303,2011-07-16,9.85,0.1478,1.46,0.0,11.31
SHP-00000304,2011-07-16,24.48,0.1478,3.62,5.0,33.1
SHP-00000305,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000306,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000307,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000308,2011-07-16,11.27,0.1478,1.67,0.0,12.94
SHP-00000309,2011-07-16,27.9,0.1478,4.12,0.0,32.02
SHP-00000310,2011-07-16,29.79,0.1478,4.4,0.0,34.19
SHP-00000311,2011-07-16,20.22,0.1478,2.99,5.0,28.21
SHP-00000312,2011-07-16,16.53,0.1478,2.44,0.0,18.97
SHP-00000313,2011-07-17,9.91,0.1478,1.46,0.0,11.37
SHP-00000314,2011-07-15,19.22,0.1478,2.84,0.0,22.06
SHP-00000315,2011-07-15,21.53,0.1478,3.18,0.0,24.71
SHP-00000316,2011-07-16,15.0,0.1478,2.22,0.0,17.22
SHP-00000317,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000318,2011-07-15,23.22,0.1478,3.43,5.0,31.65
SHP-00000319,2011-07-16,26.76,0.1478,3.96,0.0,30.72
SHP-00000320,2011-07-16,8.28,0.1478,1.22,0.0,9.5
SHP-00000321,2011-07-16,18.87,0.1478,2.79,0.0,21.66
SHP-00000322,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000323,2011-07-16,11.65,0.1478,1.72,0.0,13.37
SHP-00000324,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000325,2011-07-15,25.85,0.1478,3.82,0.0,29.67
SHP-00000326,2011-07-15,8.0,0.1478,1.18,5.0,14.18
SHP-00000327,2011-07-15,22.78,0.1478,3.37,0.0,26.15
SHP-00000328,2011-07-15,13.12,0.1478,1.94,0.0,15.06
SHP-00000329,2011-07-16,15.0,0.1478,2.22,0.0,17.22
SHP-00000330,2011-07-15,15.0,0.1478,2.22,8.0,25.22
SHP-00000331,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000332,2011-07-16,24.18,0.1478,3.57,0.0,27.75
SHP-00000333,2011-07-16,10.75,0.1478,1.59,0.0,12.34
SHP-00000334,2011-07-16,22.85,0.1478,3.38,0.0,26.23
SHP-00000335,2011-07-15,27.51,0.1478,4.07,0.0,31.58
SHP-00000336,2011-07-16,15.0,0.1478,2.22,0.0,17.22
SHP-00000337,2011-07-15,15.0,0.1478,2.22,0.0,17.22
SHP-00000338,2011-07-16,28.37,0.1478,4.19,0.0,32.56
SHP-00000339,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000340,2011-07-16,10.14,0.1478,1.5,5.0,16.64
SHP-00000341,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000342,2011-07-16,16.55,0.1478,2.45,0.0,19.0
SHP-00000343,2011-07-15,8.01,0.1478,1.18,0.0,9.19
SHP-00000344,2011-07-16,25.0,0.1478,3.69,0.0,28.69
SHP-00000345,2011-07-16,15.0,0.1478,2.22,0.0,17.22
SHP-00000346,2011-07-16,18.0,0.1478,2.66,0.0,20.66
SHP-00000347,2011-07-15,13.73,0.1478,2.03,0.0,15.76
SHP-00000348,2011-07-16,26.69,0.1478,3.94,0.0,30.63
SHP-00000349,2011-07-16,18.62,0.1478,2.75,5.0,26.37
SHP-00000350,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000351,2011-07-16,19.46,0.1478,2.88,5.0,27.34
SHP-00000352,2011-07-16,25.0,0.1478,3.69,0.0,28.69
SHP-00000353,2011-07-15,15.18,0.1478,2.24,8.0,25.42
SHP-00000354,2011-07-16,15.0,0.1478,2.22,8.0,25.22
SHP-00000355,2011-07-16,22.35,0.1478,3.3,0.0,25.65
SHP-00000356,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000357,2011-07-15,25.0,0.1478,3.69,0.0,28.69
SHP-00000358,2011-07-16,21.1,0.1478,3.12,8.0,32.22
SHP-00000359,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000360,2011-07-16,21.24,0.1478,3.14,0.0,24.38
SHP-00000361,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000362,2011-07-15,21.81,0.1478,3.22,0.0,25.03
SHP-00000363,2011-07-16,17.75,0.1478,2.62,0.0,20.37
SHP-00000364,2011-07-16,16.65,0.1478,2.46,8.0,27.11
SHP-00000365,2011-07-15,15.0,0.1478,2.22,0.0,17.22
SHP-00000366,2011-07-16,29.9,0.1478,4.42,5.0,39.32
SHP-00000367,2011-07-16,8.0,0.1478,1.18,5.0,14.18
SHP-00000368,2011-07-16,19.01,0.1478,2.81,0.0,21.82
SHP-00000369,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000370,2011-07-15,23.02,0.1478,3.4,0.0,26.42
SHP-00000371,2011-07-16,25.0,0.1478,3.69,0.0,28.69
SHP-00000372,2011-07-15,21.86,0.1478,3.23,0.0,25.09
SHP-00000373,2011-07-15,19.25,0.1478,2.85,0.0,22.1
SHP-00000374,2011-07-16,10.83,0.1478,1.6,0.0,12.43
SHP-00000375,2011-07-15,8.0,0.1478,1.18,0.0,9.18
SHP-00000376,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000377,2011-07-16,9.7,0.1478,1.43,0.0,11.13
SHP-00000378,2011-07-16,9.24,0.1478,1.37,0.0,10.61
SHP-00000379,2011-07-16,25.0,0.1478,3.69,0.0,28.69
SHP-00000380,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000381,2011-07-16,23.95,0.1478,3.54,0.0,27.49
SHP-00000382,2011-07-16,25.0,0.1478,3.69,0.0,28.69
SHP-00000383,2011-07-16,8.0,0.1478,1.18,0.0,9.18
SHP-00000384,2011-07-16,15.0,0.1478,2.22,0.0,17.22
